feature,gain,split
last1_finish,326232.952960968,448.0
recent5_place_rate,176864.1481704712,62.0
career_place_rate,92592.07214736938,262.0
recent3_place_rate,92380.8668384552,32.0
best_margin_last3,49239.251708984375,138.0
weighted_margin_last3,40106.465814590454,188.0
field_size,40070.98398017883,352.0
last2_finish,31230.277059555054,220.0
career_races,28025.975206375122,372.0
mean_margin_last3,21099.658750534058,140.0
grade_code_unknown,20948.000770568848,158.0
recent3_win_rate,15722.014324188232,118.0
current_distance,15044.853672027588,302.0
last1_distance,10289.17204284668,234.0
career_win_rate,9600.183578491211,214.0
races_last_180d,8560.679853439331,144.0
last3_field_strength,7947.907585144043,144.0
margin_x_field_strength,6232.927837371826,74.0
condition_code_13,5916.007987976074,92.0
condition_code_12,5858.88916015625,104.0
last1_winner_strength,5640.872097015381,62.0
last2_distance,4653.120416641235,84.0
grade_code_E,4456.75216293335,42.0
last3_finish,4098.7014083862305,78.0
grade_code_A,3479.007781982422,72.0
last1_margin,3320.705364227295,70.0
last2_field_strength,3094.121997833252,68.0
condition_code_11,2803.785683631897,50.0
last2_winner_strength,2216.1291828155518,54.0
last3_distance,2129.5033988952637,56.0
career_wins,1949.1216678619385,70.0
last1_class_grade:B|condition:12,1259.4682006835938,32.0
recent5_win_rate,1236.0813179016113,32.0
last1_field_strength,1131.994728088379,32.0
last3_winner_strength,1035.0556106567383,18.0
last1_class_grade:E|condition:11,1013.3009986877441,28.0
grade_code_C,962.4058074951172,30.0
racecourse_福島,954.8692092895508,28.0
grade_code_B,912.8154010772705,30.0
racecourse_東京,866.0234031677246,26.0
last1_class_grade:unknown|condition:11,694.4203968048096,24.0
last2_class_grade:A|condition:12,686.2152786254883,28.0
last1_class_grade:unknown|condition:12,645.8919830322266,6.0
last1_class_grade:A|condition:12,627.9465961456299,20.0
last1_class_grade:C|condition:12,619.6477966308594,22.0
last2_class_grade:E|condition:13,379.27120208740234,12.0
last3_class_grade:unknown|condition:14,365.9565963745117,12.0
racecourse_小倉,297.5759983062744,10.0
career_places,297.4048385620117,10.0
last2_class_grade:E|condition:11,291.9027976989746,12.0
races_last_365d,287.0384864807129,14.0
last2_class_grade:A|condition:13,264.7017993927002,16.0
last1_class_grade:A|condition:13,241.80880165100098,14.0
racecourse_新潟,210.26999855041504,12.0
last2_margin,187.53319931030273,10.0
last1_class_grade:E|condition:13,175.52939987182617,6.0
last3_class_grade:unknown|condition:13,91.47879791259766,6.0
condition_code_14,83.15979766845703,2.0
last3_margin,80.69540023803711,4.0
last3_class_grade:A|condition:14,78.50900077819824,6.0
last2_class_grade:B|condition:12,78.0438404083252,6.0
margin_x_winner_strength,68.82800102233887,4.0
condition_code_18,66.48519897460938,2.0
last2_class_grade:unknown|condition:14,64.37380027770996,4.0
racecourse_函館,53.755401611328125,2.0
last2_class_grade:unknown|condition:13,41.38420104980469,2.0
racecourse_中山,39.19459915161133,2.0
last3_class_grade:A|condition:13,27.829599380493164,2.0
last3_class_grade:unknown|condition:11,26.473800659179688,2.0
last2_class_grade:unknown|condition:11,25.106000900268555,2.0
last2_class_grade:C|condition:13,24.31800079345703,2.0
last3_class_grade:E|condition:19,22.026599884033203,2.0
last2_class_grade:A|condition:14,17.313400268554688,2.0
margin_x_class,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:13,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:12,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_grade:unknown|condition:19,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
last3_class_grade:E|condition:13,0.0,0.0
last3_class_grade:E|condition:14,0.0,0.0
last3_class_grade:E|condition:18,0.0,0.0
last3_class_grade:F|condition:18,0.0,0.0
last3_class_grade:F|condition:19,0.0,0.0
last3_class_grade:G|condition:18,0.0,0.0
last3_class_grade:G|condition:19,0.0,0.0
last3_class_grade:H|condition:18,0.0,0.0
last3_class_grade:H|condition:19,0.0,0.0
last3_class_grade:L|condition:11,0.0,0.0
last3_class_grade:L|condition:12,0.0,0.0
last3_class_grade:L|condition:13,0.0,0.0
last3_class_grade:L|condition:14,0.0,0.0
last3_class_grade:unknown|condition:12,0.0,0.0
last3_class_grade:unknown|condition:18,0.0,0.0
last3_class_grade:unknown|condition:19,0.0,0.0
last3_class_unknown,0.0,0.0
last3_class_nan,0.0,0.0
